English	French	Translation	Comments	xpath	ext_id
d	j	z		//ldml/dates/fields/field[@type="day-short"]/displayName	dw-15_XXX
hour	heure	ler		//ldml/dates/fields/field[@type="hour"]/displayName	dw-16_XXX
hr	h	lr		//ldml/dates/fields/field[@type="hour-narrow"]/displayName	dw-17_XXX
minute	minute	minit		//ldml/dates/fields/field[@type="minute"]/displayName	dw-18_XXX
min	min	min		//ldml/dates/fields/field[@type="minute-narrow"]/displayName	dw-19_XXX
second	seconde	segonn		//ldml/dates/fields/field[@type="second"]/displayName	dw-20_XXX
sec.	s	seg.		//ldml/dates/fields/field[@type="second-short"]/displayName	dw-21_XXX
sec	s	seg		//ldml/dates/fields/field[@type="second-narrow"]/displayName	dw-22_XXX
day of the week	jour de la semaine	zour lasemenn		//ldml/dates/fields/field[@type="weekday"]/displayName	dw-23_XXX
"In English there are 2 ways to write the words ""AM"" and ""PM"": ""AM"" and ""PM"" (the full form), or ""a"" (short form) & ""p"" (narrow form). If your language doesn't have a translation for all the translations, write ""DOES NOT EXIST"". If you have MORE abbreviations, please add NOTES in the NOTES column. 
En anglais, il existe deux manières d’écrire les expressions « AM » et « PM » : « AM » et « PM » (forme complète), ou « a » (forme courte) et « p » (forme abrégée). Si votre langue ne propose pas de traduction pour certaines de ces formes, saisissez « N’EXISTE PAS ». Si vous avez PLUS d’abréviations, veuillez ajouter des NOTES dans la colonne reservée à cet effet."					
AM	AM	AM		//ldml/dates/calendars/calendar[@type="gregorian"]/dayPeriods/dayPeriodContext[@type="stand-alone"]/dayPeriodWidth[@type="wide"]/dayPeriod[@type="am"]	dw2-1_XXX
a	AM	AM		//ldml/dates/calendars/calendar[@type="gregorian"]/dayPeriods/dayPeriodContext[@type="format"]/dayPeriodWidth[@type="narrow"]/dayPeriod[@type="am"]	dw2-2_XXX
PM	PM	PM		//ldml/dates/calendars/calendar[@type="gregorian"]/dayPeriods/dayPeriodContext[@type="stand-alone"]/dayPeriodWidth[@type="wide"]/dayPeriod[@type="pm"]	dw2-3_XXX
p	PM	PM		//ldml/dates/calendars/calendar[@type="gregorian"]/dayPeriods/dayPeriodContext[@type="format"]/dayPeriodWidth[@type="narrow"]/dayPeriod[@type="pm"]	dw2-4_XXX
morning	matin	gramatin		//ldml/dates/calendars/calendar[@type="gregorian"]/dayPeriods/dayPeriodContext[@type="stand-alone"]/dayPeriodWidth[@type="wide"]/dayPeriod[@type="morning1"]	dw2-5_XXX
in the morning	du matin	gramatin		//ldml/dates/calendars/calendar[@type="gregorian"]/dayPeriods/dayPeriodContext[@type="format"]/dayPeriodWidth[@type="wide"]/dayPeriod[@type="morning1"]	dw2-6_XXX
7 in the morning	7 du matin	7-er gramatin		//ldml/dates/calendars/calendar[@type="gregorian"]/dayPeriods/dayPeriodContext[@type="format"]/dayPeriodWidth[@type="wide"]/dayPeriod[@type="morning1"]	dw2-7_XXX
afternoon	après-midi	lapremidi 		//ldml/dates/calendars/calendar[@type="gregorian"]/dayPeriods/dayPeriodContext[@type="stand-alone"]/dayPeriodWidth[@type="wide"]/dayPeriod[@type="afternoon1"]	dw2-8_XXX
in the afternoon	de l’après-midi	lapremidi		//ldml/dates/calendars/calendar[@type="gregorian"]/dayPeriods/dayPeriodContext[@type="format"]/dayPeriodWidth[@type="wide"]/dayPeriod[@type="afternoon1"]	dw2-9_XXX
1 in the afternoon	1 de l’après-midi	1-er lapremidi / 1 er lapremidi / 1-er tanto / 1 er tanto		//ldml/dates/calendars/calendar[@type="gregorian"]/dayPeriods/dayPeriodContext[@type="format"]/dayPeriodWidth[@type="wide"]/dayPeriod[@type="afternoon1"]	dw2-10_XXX
evening	soir	aswar		//ldml/dates/calendars/calendar[@type="gregorian"]/dayPeriods/dayPeriodContext[@type="stand-alone"]/dayPeriodWidth[@type="wide"]/dayPeriod[@type="evening1"]	dw2-11_XXX
in the evening	du soir	tanto / aswar	Adding the preposition "dan" is an unnatural calque of French syntax. 	//ldml/dates/calendars/calendar[@type="gregorian"]/dayPeriods/dayPeriodContext[@type="format"]/dayPeriodWidth[@type="wide"]/dayPeriod[@type="evening1"]	dw2-12_XXX
9 in the evening	9 du soir	9-er tanto / 9 er tanto / 9-er aswar / 9 er aswar	"Tanto" and "aswar" both work for that time, depending on context (e.g. dinner invitation).	//ldml/dates/calendars/calendar[@type="gregorian"]/dayPeriods/dayPeriodContext[@type="format"]/dayPeriodWidth[@type="wide"]/dayPeriod[@type="evening1"]	dw2-13_XXX
night	nuit	tanto / aswar		//ldml/dates/calendars/calendar[@type="gregorian"]/dayPeriods/dayPeriodContext[@type="stand-alone"]/dayPeriodWidth[@type="wide"]/dayPeriod[@type="night1"]	dw2-14_XXX
at night	à la nuit	tanto / aswar	No "dan."	//ldml/dates/calendars/calendar[@type="gregorian"]/dayPeriods/dayPeriodContext[@type="format"]/dayPeriodWidth[@type="wide"]/dayPeriod[@type="night1"]	dw2-15_XXX
midnight	minuit	minwi		//ldml/dates/calendars/calendar[@type="gregorian"]/dayPeriods/dayPeriodContext[@type="stand-alone"]/dayPeriodWidth[@type="wide"]/dayPeriod[@type="midnight"]	dw2-16_XXX
DAYS OF THE WEEK / JOURS DE LA SEMAINE					
"In English there are 4 ways to write the days of the week: full form, medium abbreviation, short abbreviation, and shortest abbreviation. Does your language have the same 4 forms? If yes, please enter them in Column B. If your language has LESS than 4 forms, you can leave cells blank or write ""DOES NOT HAVE."" If your language as MORE than 4 forms, please add them to the bottom, and provide an explanation in the NOTES column, and if so, how do you write them in your language? (See VISUAL EXAMPLES to understand the Abbreviations better.) 
En anglais, il existe quatre façons d’écrire les jours de la semaine : forme complète, abréviation moyenne, abréviation courte et abréviation la plus courte. Toutes ces quatre formes existent-elles dans votre langue ? Si oui, veuillez les indiquer dans la colonne B. Si votre langue a MOINS de quatre formes, vous pouvez laisser des cellules vides ou saisir « N’EXISTE PAS ». Si votre langue en a PLUS, veuillez les ajouter en bas et fournir une explication dans la colonne des notes, puis le cas échéant, indiquer comment on les écrit dans votre langue. (Consultez les EXEMPLES VISUELS pour mieux comprendre les types d'abréviations.)                                               "					
ENGLISH (FULL-LENGTH FORM)	FRENCH (FULL-LENGTH FORM)	Correction (if necessary/si nécessaire)			
Sunday	Dimanche	Dimans		//ldml/dates/calendars/calendar[@type="gregorian"]/days/dayContext[@type="format"]/dayWidth[@type="wide"]/day[@type="sun"]	wk-1_XXX
Monday	Lundi	Lindi		//ldml/dates/calendars/calendar[@type="gregorian"]/days/dayContext[@type="format"]/dayWidth[@type="wide"]/day[@type="mon"]	wk-2_XXX
Tuesday	Mardi	Mardi		//ldml/dates/calendars/calendar[@type="gregorian"]/days/dayContext[@type="format"]/dayWidth[@type="wide"]/day[@type="tue"]	wk-3_XXX
Wednesday	Mercredi	Merkredi		//ldml/dates/calendars/calendar[@type="gregorian"]/days/dayContext[@type="format"]/dayWidth[@type="wide"]/day[@type="wed"]	wk-4_XXX
Thursday	Jeudi	Zedi		//ldml/dates/calendars/calendar[@type="gregorian"]/days/dayContext[@type="format"]/dayWidth[@type="wide"]/day[@type="thu"]	wk-5_XXX
Friday	Vendredi	Vandredi		//ldml/dates/calendars/calendar[@type="gregorian"]/days/dayContext[@type="format"]/dayWidth[@type="wide"]/day[@type="fri"]	wk-6_XXX
Saturday	Samedi	Samdi		//ldml/dates/calendars/calendar[@type="gregorian"]/days/dayContext[@type="format"]/dayWidth[@type="wide"]/day[@type="sat"]	wk-7_XXX
ENGLISH (MEDIUM-LENGTH FORM)	FRENCH (MEDIUM-LENGTH FORM)	Correction (if necessary/si nécessaire)			
Sun	Dim	Dim		//ldml/dates/calendars/calendar[@type="gregorian"]/days/dayContext[@type="stand-alone"]/dayWidth[@type="abbreviated"]/day[@type="sun"]	wk-8_XXX
Mon	Lun	Lin		//ldml/dates/calendars/calendar[@type="gregorian"]/days/dayContext[@type="stand-alone"]/dayWidth[@type="abbreviated"]/day[@type="mon"]	wk-9_XXX
Tue	Mar	Mar		//ldml/dates/calendars/calendar[@type="gregorian"]/days/dayContext[@type="stand-alone"]/dayWidth[@type="abbreviated"]/day[@type="tue"]	wk-10_XXX
Wed	Mer	Mer		//ldml/dates/calendars/calendar[@type="gregorian"]/days/dayContext[@type="stand-alone"]/dayWidth[@type="abbreviated"]/day[@type="wed"]	wk-11_XXX
Thur	Jeu	Zed		//ldml/dates/calendars/calendar[@type="gregorian"]/days/dayContext[@type="stand-alone"]/dayWidth[@type="abbreviated"]/day[@type="thu"]	wk-12_XXX
Fri	Ven	Van		//ldml/dates/calendars/calendar[@type="gregorian"]/days/dayContext[@type="stand-alone"]/dayWidth[@type="abbreviated"]/day[@type="fri"]	wk-13_XXX
Sat	Sam	Sam		//ldml/dates/calendars/calendar[@type="gregorian"]/days/dayContext[@type="stand-alone"]/dayWidth[@type="abbreviated"]/day[@type="sat"]	wk-14_XXX
ENGLISH (SHORT-LENGTH FORM)	FRENCH (SHORT-LENGTH FORM)	Correction (if necessary/si nécessaire)			
Su	Di	DI		//ldml/dates/calendars/calendar[@type="gregorian"]/days/dayContext[@type="stand-alone"]/dayWidth[@type="short"]/day[@type="sun"]	wk-15_XXX
Mo	Lu	LI		//ldml/dates/calendars/calendar[@type="gregorian"]/days/dayContext[@type="stand-alone"]/dayWidth[@type="short"]/day[@type="mon"]	wk-16_XXX
Tu	Ma	MA		//ldml/dates/calendars/calendar[@type="gregorian"]/days/dayContext[@type="stand-alone"]/dayWidth[@type="short"]/day[@type="tue"]	wk-17_XXX
We	Me	ME		//ldml/dates/calendars/calendar[@type="gregorian"]/days/dayContext[@type="stand-alone"]/dayWidth[@type="short"]/day[@type="wed"]	wk-18_XXX
Th	Je	ZE		//ldml/dates/calendars/calendar[@type="gregorian"]/days/dayContext[@type="stand-alone"]/dayWidth[@type="short"]/day[@type="thu"]	wk-19_XXX
Fr	Ve	VA		//ldml/dates/calendars/calendar[@type="gregorian"]/days/dayContext[@type="stand-alone"]/dayWidth[@type="short"]/day[@type="fri"]	wk-20_XXX
Sa	Sa	SA		//ldml/dates/calendars/calendar[@type="gregorian"]/days/dayContext[@type="stand-alone"]/dayWidth[@type="short"]/day[@type="sat"]	wk-21_XXX
ENGLISH (SHORTEST-LENGTH FORM)	FRENCH (SHORTEST-LENGTH FORM)	Correction (if necessary/si nécessaire)			
S	D	D		//ldml/dates/calendars/calendar[@type="gregorian"]/days/dayContext[@type="stand-alone"]/dayWidth[@type="narrow"]/day[@type="sun"]	wk-22_XXX
M	L	L		//ldml/dates/calendars/calendar[@type="gregorian"]/days/dayContext[@type="stand-alone"]/dayWidth[@type="narrow"]/day[@type="mon"]	wk-23_XXX
T	M	M		//ldml/dates/calendars/calendar[@type="gregorian"]/days/dayContext[@type="stand-alone"]/dayWidth[@type="narrow"]/day[@type="tue"]	wk-24_XXX
W	M	M		//ldml/dates/calendars/calendar[@type="gregorian"]/days/dayContext[@type="stand-alone"]/dayWidth[@type="narrow"]/day[@type="wed"]	wk-25_XXX
T	J	Z		//ldml/dates/calendars/calendar[@type="gregorian"]/days/dayContext[@type="stand-alone"]/dayWidth[@type="narrow"]/day[@type="thu"]	wk-26_XXX
F	V	V		//ldml/dates/calendars/calendar[@type="gregorian"]/days/dayContext[@type="stand-alone"]/dayWidth[@type="narrow"]/day[@type="fri"]	wk-27_XXX
S	S	S		//ldml/dates/calendars/calendar[@type="gregorian"]/days/dayContext[@type="stand-alone"]/dayWidth[@type="narrow"]/day[@type="sat"]	wk-28_XXX
MONTH WORDS / TERMINOLOGIE DES MOIS					
"In English there are 3 ways to write the months of the year: full form, medium abbreviation, and shortest abbreviation. Does your language have the same 3 forms? If yes, please enter them in Column B. If your language has LESS than 3 forms, you can leave cells blank or write ""DOES NOT HAVE."" If your language as MORE than 3 forms, please add them to the bottom, and provide an explanation in the NOTES column, and if so, how do you write them in your language? (See VISUAL EXAMPLES to understand the Abbreviations better.)
En anglais, il existe trois façons d’écrire les mois de l’année : forme complète, abréviation moyenne et abréviation la plus courte. Votre langue utilise-t-elle aussi ces trois formes ? Si oui, veuillez les indiquer dans la colonne B. Si votre langue a MOINS de trois formes, vous pouvez laisser des cellules vides ou saisir « N’EXISTE PAS ». Si votre langue en a PLUS, veuillez les ajouter en bas et fournir une explication dans la colonne des notes. (Consultez les EXEMPLES VISUELS pour mieux comprendre les abréviations.)"					
ENGLISH (FULL-LENGTH FORM)	FRENCH (FULL-LENGTH FORM)	Correction (if necessary/si nécessaire)			
January 	Janvier 	Zanvie		//ldml/dates/calendars/calendar[@type="gregorian"]/months/monthContext[@type="stand-alone"]/monthWidth[@type="wide"]/month[@type="1"]	mw-1_XXX
February	Février	Fevriye		//ldml/dates/calendars/calendar[@type="gregorian"]/months/monthContext[@type="stand-alone"]/monthWidth[@type="wide"]/month[@type="2"]	mw-2_XXX
March	Mars	Mars		//ldml/dates/calendars/calendar[@type="gregorian"]/months/monthContext[@type="stand-alone"]/monthWidth[@type="wide"]/month[@type="3"]	mw-3_XXX
April	Avril	Avril		//ldml/dates/calendars/calendar[@type="gregorian"]/months/monthContext[@type="stand-alone"]/monthWidth[@type="wide"]/month[@type="4"]	mw-4_XXX
May	Mai	Me		//ldml/dates/calendars/calendar[@type="gregorian"]/months/monthContext[@type="stand-alone"]/monthWidth[@type="wide"]/month[@type="5"]	mw-5_XXX
June	Juin	Zien / Zwin	Both variants are acceptable and should be greenflagged by autocorrect in Mauritian Creole. However, "Zien" is the main variant in the dictionary and "Zwin" is an acceptable secondary variation.	//ldml/dates/calendars/calendar[@type="gregorian"]/months/monthContext[@type="stand-alone"]/monthWidth[@type="wide"]/month[@type="6"]	mw-6_XXX
July	Juillet	Zilie / Zilie	Ditto.	//ldml/dates/calendars/calendar[@type="gregorian"]/months/monthContext[@type="stand-alone"]/monthWidth[@type="wide"]/month[@type="7"]	mw-7_XXX
August	Août	Out		//ldml/dates/calendars/calendar[@type="gregorian"]/months/monthContext[@type="stand-alone"]/monthWidth[@type="wide"]/month[@type="8"]	mw-8_XXX
September	Septembre	Septam		//ldml/dates/calendars/calendar[@type="gregorian"]/months/monthContext[@type="stand-alone"]/monthWidth[@type="wide"]/month[@type="9"]	mw-9_XXX
October	Octobre	Oktob		//ldml/dates/calendars/calendar[@type="gregorian"]/months/monthContext[@type="stand-alone"]/monthWidth[@type="wide"]/month[@type="10"]	mw-10_XXX
November	Novembre	Novam		//ldml/dates/calendars/calendar[@type="gregorian"]/months/monthContext[@type="stand-alone"]/monthWidth[@type="wide"]/month[@type="11"]	mw-11_XXX
December	Décembre	Desam		//ldml/dates/calendars/calendar[@type="gregorian"]/months/monthContext[@type="stand-alone"]/monthWidth[@type="wide"]/month[@type="12"]	mw-12_XXX
ENGLISH (MEDIUM-LENGTH FORM)	FRENCH (MEDIUM-LENGTH FORM)	Correction (if necessary/si nécessaire)			
Jan	Janv.	Zan		//ldml/dates/calendars/calendar[@type="gregorian"]/months/monthContext[@type="stand-alone"]/monthWidth[@type="abbreviated"]/month[@type="1"]	mw-13_XXX
Feb	Févr.	Fev		//ldml/dates/calendars/calendar[@type="gregorian"]/months/monthContext[@type="stand-alone"]/monthWidth[@type="abbreviated"]/month[@type="2"]	mw-14_XXX
Mar	Mars	Mar		//ldml/dates/calendars/calendar[@type="gregorian"]/months/monthContext[@type="stand-alone"]/monthWidth[@type="abbreviated"]/month[@type="3"]	mw-15_XXX
Apr	Avr.	Avr		//ldml/dates/calendars/calendar[@type="gregorian"]/months/monthContext[@type="stand-alone"]/monthWidth[@type="abbreviated"]/month[@type="4"]	mw-16_XXX
May	Mai	Me		//ldml/dates/calendars/calendar[@type="gregorian"]/months/monthContext[@type="stand-alone"]/monthWidth[@type="abbreviated"]/month[@type="5"]	mw-17_XXX
Jun	Juin	Zin / Zwi	Refer to Rows 92-93 for comment.	//ldml/dates/calendars/calendar[@type="gregorian"]/months/monthContext[@type="stand-alone"]/monthWidth[@type="abbreviated"]/month[@type="6"]	mw-18_XXX
Jul	Juil.	Zil / Ziy	Refer to Rows 92-93 for comment.	//ldml/dates/calendars/calendar[@type="gregorian"]/months/monthContext[@type="stand-alone"]/monthWidth[@type="abbreviated"]/month[@type="7"]	mw-19_XXX
Aug	Auôt	Out		//ldml/dates/calendars/calendar[@type="gregorian"]/months/monthContext[@type="stand-alone"]/monthWidth[@type="abbreviated"]/month[@type="8"]	mw-20_XXX
Sep	Sept.	Sep		//ldml/dates/calendars/calendar[@type="gregorian"]/months/monthContext[@type="stand-alone"]/monthWidth[@type="abbreviated"]/month[@type="9"]	mw-21_XXX
Oct	Oct.	Okt		//ldml/dates/calendars/calendar[@type="gregorian"]/months/monthContext[@type="stand-alone"]/monthWidth[@type="abbreviated"]/month[@type="10"]	mw-22_XXX
Nov	Nov.	Nov		//ldml/dates/calendars/calendar[@type="gregorian"]/months/monthContext[@type="stand-alone"]/monthWidth[@type="abbreviated"]/month[@type="11"]	mw-23_XXX
Dec	Déc.	Des		//ldml/dates/calendars/calendar[@type="gregorian"]/months/monthContext[@type="stand-alone"]/monthWidth[@type="abbreviated"]/month[@type="12"]	mw-24_XXX
ENGLISH (SHORTEST-LENGTH FORM)	FRENCH (SHORTEST-LENGTH FORM)	Correction (if necessary/si nécessaire)			
J	J	Z		//ldml/dates/calendars/calendar[@type="gregorian"]/months/monthContext[@type="stand-alone"]/monthWidth[@type="narrow"]/month[@type="1"]	mw-25_XXX
F	F	F		//ldml/dates/calendars/calendar[@type="gregorian"]/months/monthContext[@type="stand-alone"]/monthWidth[@type="narrow"]/month[@type="2"]	mw-26_XXX
M	M	M		//ldml/dates/calendars/calendar[@type="gregorian"]/months/monthContext[@type="stand-alone"]/monthWidth[@type="narrow"]/month[@type="3"]	mw-27_XXX
A	A	A		//ldml/dates/calendars/calendar[@type="gregorian"]/months/monthContext[@type="stand-alone"]/monthWidth[@type="narrow"]/month[@type="4"]	mw-28_XXX
M	M	M		//ldml/dates/calendars/calendar[@type="gregorian"]/months/monthContext[@type="stand-alone"]/monthWidth[@type="narrow"]/month[@type="5"]	mw-29_XXX
J	J	Z		//ldml/dates/calendars/calendar[@type="gregorian"]/months/monthContext[@type="stand-alone"]/monthWidth[@type="narrow"]/month[@type="6"]	mw-30_XXX
J	J	Z		//ldml/dates/calendars/calendar[@type="gregorian"]/months/monthContext[@type="stand-alone"]/monthWidth[@type="narrow"]/month[@type="7"]	mw-31_XXX
A	A	O		//ldml/dates/calendars/calendar[@type="gregorian"]/months/monthContext[@type="stand-alone"]/monthWidth[@type="narrow"]/month[@type="8"]	mw-32_XXX
S	S	S		//ldml/dates/calendars/calendar[@type="gregorian"]/months/monthContext[@type="stand-alone"]/monthWidth[@type="narrow"]/month[@type="9"]	mw-33_XXX
O	O	O		//ldml/dates/calendars/calendar[@type="gregorian"]/months/monthContext[@type="stand-alone"]/monthWidth[@type="narrow"]/month[@type="10"]	mw-34_XXX
N	N	N		//ldml/dates/calendars/calendar[@type="gregorian"]/months/monthContext[@type="stand-alone"]/monthWidth[@type="narrow"]/month[@type="11"]	mw-35_XXX
D	D	D		//ldml/dates/calendars/calendar[@type="gregorian"]/months/monthContext[@type="stand-alone"]/monthWidth[@type="narrow"]/month[@type="12"]	mw-36_XXX
HOURS / HEURES					
ENGLISH	FRENCH	Correction (if necessary/si nécessaire)			
3 PM	15 h 00	15:00		//ldml/dates/calendars/calendar[@type="gregorian"]/dateTimeFormats/availableFormats/dateFormatItem[@id="hm"]	hr-1_XXX
10:48	10:48	10:48		//ldml/dates/calendars/calendar[@type="gregorian"]/dateTimeFormats/availableFormats/dateFormatItem[@id="Hm"]	hr-2_XXX
16:12	16:12	16:12		//ldml/dates/calendars/calendar[@type="gregorian"]/dateTimeFormats/availableFormats/dateFormatItem[@id="Hm"]	hr-3_XXX
9:41 AM	9 h 41	09:41		//ldml/dates/calendars/calendar[@type="gregorian"]/dateTimeFormats/availableFormats/dateFormatItem[@id="hm"]	hr-4_XXX
16:14:24	16:14:24	16:14:24		//ldml/dates/calendars/calendar[@type="gregorian"]/dateTimeFormats/availableFormats/dateFormatItem[@id="Hms"]	hr-5_XXX
08:04:41	08:04:41	08:04:41		//ldml/dates/calendars/calendar[@type="gregorian"]/dateTimeFormats/availableFormats/dateFormatItem[@id="Hms"]	hr-6_XXX
11:30 PM GMT	23 h 30 GMT	23:30 GMT		//ldml/dates/calendars/calendar[@type="gregorian"]/dateTimeFormats/availableFormats/dateFormatItem[@id="hmv"]	hr-7_XXX
RELATIVE TIME / TEMPS RELATIF					
ENGLISH	FRENCH	Correction (if necessary/si nécessaire)			
last month	Mois dernier	mwa dernie		//ldml/dates/fields/field[@type="month"]/relative[@type="-1"]	rt-1_XXX
last week	La semaine dernière	semenn dernier	Gender issue: some adjectives are gendered (trace of French). "semenn" is feminine. "dernie" is masculine and "dernier" is feminine.	//ldml/dates/fields/field[@type="week"]/relative[@type="-1"]	rt-2_XXX
yesterday	Hier	yer		//ldml/dates/fields/field[@type="day"]/relative[@type="-1"]	rt-3_XXX
last year	L'année dernière	lane dernier	Gender issue: some adjectives are gendered (trace of French). "lane" is feminine. "dernie" is masculine and "dernier" is feminine.	//ldml/dates/fields/field[@type="year"]/relative[@type="-1"]	rt-4_XXX
this month	Ce mois-ci	sa mwa-la		//ldml/dates/fields/field[@type="month"]/relative[@type="0"]	rt-5_XXX
this week	Cette semaine	sa semenn-la		//ldml/dates/fields/field[@type="week"]/relative[@type="0"]	rt-6_XXX
today	Aujourd'hui	zordi		//ldml/dates/fields/field[@type="day"]/relative[@type="0"]	rt-7_XXX
this year	Cette année	sa lane-la		//ldml/dates/fields/field[@type="year"]/relative[@type="0"]	rt-8_XXX
tomorrow	Demain	demin		//ldml/dates/fields/field[@type="day"]/relative[@type="1"]	rt-9_XXX
next month	Le mois prochain	mwa prosin	Gender issue: a few adjectives are gendered (trace of French). "Mwa" is masculine. "Prosin" is masculine and "prosenn" is feminine.	//ldml/dates/fields/field[@type="month"]/relative[@type="1"]	rt-10_XXX
next week	La semaine prochaine	semenn prosenn		//ldml/dates/fields/field[@type="week"]/relative[@type="1"]	rt-11_XXX
next year	L'année prochaine	lane prosenn		//ldml/dates/fields/field[@type="year"]/relative[@type="1"]	rt-12_XXX
TIME INTERVALS / INTERVALLES DE TEMPS					
ENGLISH	FRENCH	Correction (if necessary/si nécessaire)			
3 PM - 4 PM	15 h 00–16 h 00	15:00 - 16:00		//ldml/dates/calendars/calendar[@type="gregorian"]/dateTimeFormats/intervalFormats/intervalFormatItem[@id="h"]/greatestDifference[@id="a"]	ti-1_XXX
3 - 4 PM	15–16 h 	15:00 - 16:00		//ldml/dates/calendars/calendar[@type="gregorian"]/dateTimeFormats/intervalFormats/intervalFormatItem[@id="h"]/greatestDifference[@id="h"]	ti-2_XXX
3:00 PM – 4:00 PM	15 h 00–16 h 00	15:00 - 16:00		//ldml/dates/calendars/calendar[@type="gregorian"]/dateTimeFormats/intervalFormats/intervalFormatItem[@id="hm"]/greatestDifference[@id="a"]	ti-3_XXX
3:00–4:00 PM	15 h 00–16 h 00	15:00 - 16:00		//ldml/dates/calendars/calendar[@type="gregorian"]/dateTimeFormats/intervalFormats/intervalFormatItem[@id="hm"]/greatestDifference[@id="h"]	ti-4_XXX
3:00–3:15 PM	15 h 00–15 h 15	15:00 - 15:15		//ldml/dates/calendars/calendar[@type="gregorian"]/dateTimeFormats/intervalFormats/intervalFormatItem[@id="hm"]/greatestDifference[@id="m"]	ti-5_XXX
