year	année	बरिस			//ldml/dates/fields/field[@type="year"]/displayName	dw-2_XXX
yr	a	बरि		"Alternate translation: सलाना Does not exist - created to see if it works in context"	//ldml/dates/fields/field[@type="year-narrow"]/displayName	dw-3_XXX
y	an	ब		Does not exist - created to see if it works in context	//ldml/dates/fields/field[@type="year-short"]/displayName	dw-4_XXX
quarter	trimestre	तिमाही			//ldml/dates/fields/field[@type="quarter"]/displayName	dw-5_XXX
qtr.	trim.	तिम		Does not exist - created to see if it works in context	//ldml/dates/fields/field[@type="quarter-short"]/displayName	dw-6_XXX
qtr	trim.	तिम		Does not exist - created to see if it works in context	//ldml/dates/fields/field[@type="quarter-narrow"]/displayName	dw-7_XXX
month	mois	महीना			//ldml/dates/fields/field[@type="month"]/displayName	dw-8_XXX
mo.	m.	मही		"Alternate translation: मासिक Does not exist - created to see if it works in context"	//ldml/dates/fields/field[@type="month-short"]/displayName	dw-9_XXX
m	m.	म		"Alternate translation: दैनिक Does not exist - created to see if it works in context"	//ldml/dates/fields/field[@type="month-narrow"]/displayName	dw-10_XXX
week	semaine	हफ्ता			//ldml/dates/fields/field[@type="week"]/displayName	dw-11_XXX
wk.	sem.	हफ्ता		Alternate translation: साप्ताहिक	//ldml/dates/fields/field[@type="week-short"]/displayName	dw-12_XXX
wk	sem.	हफ्ता		Alternate translation: साप्ताहिक	//ldml/dates/fields/field[@type="week-narrow"]/displayName	dw-13_XXX
day	jour	दिन			//ldml/dates/fields/field[@type="day"]/displayName	dw-14_XXX
d	j	दि		"Alternate translation: दैनिक Does not exist - created to see if it works in context"	//ldml/dates/fields/field[@type="day-short"]/displayName	dw-15_XXX
hour	heure	घंटा			//ldml/dates/fields/field[@type="hour"]/displayName	dw-16_XXX
hr	h	घं		Does not exist - created to see if it works in context	//ldml/dates/fields/field[@type="hour-narrow"]/displayName	dw-17_XXX
minute	minute	मिनट			//ldml/dates/fields/field[@type="minute"]/displayName	dw-18_XXX
min	min	मि		Does not exist - created to see if it works in context	//ldml/dates/fields/field[@type="minute-narrow"]/displayName	dw-19_XXX
second	seconde	सेकंड			//ldml/dates/fields/field[@type="second"]/displayName	dw-20_XXX
sec.	s	सेक		Does not exist - created to see if it works in context	//ldml/dates/fields/field[@type="second-short"]/displayName	dw-21_XXX
sec	s	सेक		Does not exist - created to see if it works in context	//ldml/dates/fields/field[@type="second-narrow"]/displayName	dw-22_XXX
day of the week	jour de la semaine	हफ्ता के दिन			//ldml/dates/fields/field[@type="weekday"]/displayName	dw-23_XXX
"In English there are 2 ways to write the words ""AM"" and ""PM"": ""AM"" and ""PM"" (the full form), or ""a"" (short form) & ""p"" (narrow form). If your language doesn't have a translation for all the translations, write ""DOES NOT EXIST"". If you have MORE abbreviations, please add NOTES in the NOTES column. 
En anglais, il existe deux manières d’écrire les expressions « AM » et « PM » : « AM » et « PM » (forme complète), ou « a » (forme courte) et « p » (forme abrégée). Si votre langue ne propose pas de traduction pour certaines de ces formes, saisissez « N’EXISTE PAS ». Si vous avez PLUS d’abréviations, veuillez ajouter des NOTES dans la colonne reservée à cet effet."						
AM	AM	सुबह			//ldml/dates/calendars/calendar[@type="gregorian"]/dayPeriods/dayPeriodContext[@type="stand-alone"]/dayPeriodWidth[@type="narrow"]/dayPeriod[@type="am"]	dw2-1_XXX
a	AM	सु		NA - created to see if it works in context	//ldml/dates/calendars/calendar[@type="gregorian"]/dayPeriods/dayPeriodContext[@type="format"]/dayPeriodWidth[@type="narrow"]/dayPeriod[@type="am"]	dw2-2_XXX
PM	PM	साँझ			//ldml/dates/calendars/calendar[@type="gregorian"]/dayPeriods/dayPeriodContext[@type="format"]/dayPeriodWidth[@type="abbreviated"]/dayPeriod[@type="pm"]	dw2-3_XXX
p	PM	सा		NA - created to see if it works in context	//ldml/dates/calendars/calendar[@type="gregorian"]/dayPeriods/dayPeriodContext[@type="format"]/dayPeriodWidth[@type="narrow"]/dayPeriod[@type="pm"]	dw2-4_XXX
morning	matin	सुबह			//ldml/dates/calendars/calendar[@type="gregorian"]/dayPeriods/dayPeriodContext[@type="stand-alone"]/dayPeriodWidth[@type="wide"]/dayPeriod[@type="morning1"]	dw2-5_XXX
in the morning	du matin	सबेरे के बेरा			//ldml/dates/calendars/calendar[@type="gregorian"]/dayPeriods/dayPeriodContext[@type="format"]/dayPeriodWidth[@type="wide"]/dayPeriod[@type="morning1"]	dw2-6_XXX
7 in the morning	7 du matin	सबेरे 7 बजे				dw2-7_XXX
afternoon	après-midi	दुपहरिया			//ldml/dates/calendars/calendar[@type="gregorian"]/dayPeriods/dayPeriodContext[@type="stand-alone"]/dayPeriodWidth[@type="wide"]/dayPeriod[@type="afternoon1"]	dw2-8_XXX
in the afternoon	de l’après-midi	दुपहर में			//ldml/dates/calendars/calendar[@type="gregorian"]/dayPeriods/dayPeriodContext[@type="format"]/dayPeriodWidth[@type="wide"]/dayPeriod[@type="afternoon1"]	dw2-9_XXX
1 in the afternoon	1 de l’après-midi	दुपहर में 1 बजे				dw2-10_XXX
evening	soir	साँझ			//ldml/dates/calendars/calendar[@type="gregorian"]/dayPeriods/dayPeriodContext[@type="stand-alone"]/dayPeriodWidth[@type="narrow"]/dayPeriod[@type="evening1"]	dw2-11_XXX
in the evening	du soir	साँज के बेरा			//ldml/dates/calendars/calendar[@type="gregorian"]/dayPeriods/dayPeriodContext[@type="format"]/dayPeriodWidth[@type="wide"]/dayPeriod[@type="evening1"]	dw2-12_XXX
9 in the evening	9 du soir	रात के 9 बजे				dw2-13_XXX
night	nuit	रात			//ldml/dates/calendars/calendar[@type="gregorian"]/dayPeriods/dayPeriodContext[@type="stand-alone"]/dayPeriodWidth[@type="wide"]/dayPeriod[@type="night1"]	dw2-14_XXX
at night	à la nuit	रात के बेरा			//ldml/dates/calendars/calendar[@type="gregorian"]/dayPeriods/dayPeriodContext[@type="format"]/dayPeriodWidth[@type="narrow"]/dayPeriod[@type="night1"]	dw2-15_XXX
midnight	minuit	आधा रात			//ldml/dates/calendars/calendar[@type="gregorian"]/dayPeriods/dayPeriodContext[@type="format"]/dayPeriodWidth[@type="wide"]/dayPeriod[@type="midnight"]	dw2-16_XXX
DAYS OF THE WEEK / JOURS DE LA SEMAINE						
"In English there are 4 ways to write the days of the week: full form, medium abbreviation, short abbreviation, and shortest abbreviation. Does your language have the same 4 forms? If yes, please enter them in Column B. If your language has LESS than 4 forms, you can leave cells blank or write ""DOES NOT HAVE."" If your language as MORE than 4 forms, please add them to the bottom, and provide an explanation in the NOTES column, and if so, how do you write them in your language? (See VISUAL EXAMPLES to understand the Abbreviations better.) 
En anglais, il existe quatre façons d’écrire les jours de la semaine : forme complète, abréviation moyenne, abréviation courte et abréviation la plus courte. Toutes ces quatre formes existent-elles dans votre langue ? Si oui, veuillez les indiquer dans la colonne B. Si votre langue a MOINS de quatre formes, vous pouvez laisser des cellules vides ou saisir « N’EXISTE PAS ». Si votre langue en a PLUS, veuillez les ajouter en bas et fournir une explication dans la colonne des notes, puis le cas échéant, indiquer comment on les écrit dans votre langue. (Consultez les EXEMPLES VISUELS pour mieux comprendre les types d'abréviations.)                                               "						
ENGLISH (FULL-LENGTH FORM)	FRENCH (FULL-LENGTH FORM)	TRANSLATION IN YOUR LANGUAGE	VISUAL EXAMPLE	NOTES BY TRANSLATOR (IF NECESSARY)	XPATH (Ignore/For Reference Only)	
Sunday	Dimanche	रविवार		Alternate translation: एतवार		wk-1_XXX
Monday	Lundi	सोमवार		Alternate translation: सोमार		wk-2_XXX
Tuesday	Mardi	मंगर				wk-3_XXX
Wednesday	Mercredi	बुध				wk-4_XXX
Thursday	Jeudi	बियफे				wk-5_XXX
Friday	Vendredi	सुख				wk-6_XXX
Saturday	Samedi	सनिचर				wk-7_XXX
ENGLISH (MEDIUM-LENGTH FORM)	FRENCH (MEDIUM-LENGTH FORM)	TRANSLATION IN YOUR LANGUAGE	VISUAL EXAMPLE	NOTES BY TRANSLATOR (IF NECESSARY)		
Sun	Dim	रवि				wk-8_XXX
Mon	Lun	सोम				wk-9_XXX
Tue	Mar	मंगर				wk-10_XXX
Wed	Mer	बुध				wk-11_XXX
Thur	Jeu	बियफे				wk-12_XXX
Fri	Ven	सुक				wk-13_XXX
Sat	Sam	सनि				wk-14_XXX
ENGLISH (SHORT-LENGTH FORM)	FRENCH (SHORT-LENGTH FORM)	TRANSLATION IN YOUR LANGUAGE	VISUAL EXAMPLE	NOTES BY TRANSLATOR (IF NECESSARY)		
Su	Di	रवि				wk-15_XXX
Mo	Lu	सोम				wk-16_XXX
Tu	Ma	मंगर				wk-17_XXX
We	Me	बुध				wk-18_XXX
Th	Je	बियफे				wk-19_XXX
Fr	Ve	सुक				wk-20_XXX
Sa	Sa	सनि				wk-21_XXX
ENGLISH (SHORTEST-LENGTH FORM)	FRENCH (SHORTEST-LENGTH FORM)	TRANSLATION IN YOUR LANGUAGE	VISUAL EXAMPLE	NOTES BY TRANSLATOR (IF NECESSARY)		
S	D	रवि		Shortest possible is रवि		wk-22_XXX
M	L	सोम		"Does not exist - स doesn't work even in context. Shortest possible: सोम"		wk-23_XXX
T	M	मंगर		"Does not exist - मं doesn't work even in context. Shortest possible: मंगर"		wk-24_XXX
W	M	बुध		"Does not exist - बु doesn't work even in context. Shortest possible: बुध"		wk-25_XXX
T	J	बियफे		"Does not exist - बि doesn't work even in context. Shortest possible: बियफे"		wk-26_XXX
F	V	सुक		"Does not exist - सु doesn't work even in context. Shortest possible: सुक"		wk-27_XXX
S	S	सनि		"Does not exist - स doesn't work even in context. Shortest possible: सनि"		wk-28_XXX
MONTH WORDS / TERMINOLOGIE DES MOIS						
"In English there are 3 ways to write the months of the year: full form, medium abbreviation, and shortest abbreviation. Does your language have the same 3 forms? If yes, please enter them in Column B. If your language has LESS than 3 forms, you can leave cells blank or write ""DOES NOT HAVE."" If your language as MORE than 3 forms, please add them to the bottom, and provide an explanation in the NOTES column, and if so, how do you write them in your language? (See VISUAL EXAMPLES to understand the Abbreviations better.)
En anglais, il existe trois façons d’écrire les mois de l’année : forme complète, abréviation moyenne et abréviation la plus courte. Votre langue utilise-t-elle aussi ces trois formes ? Si oui, veuillez les indiquer dans la colonne B. Si votre langue a MOINS de trois formes, vous pouvez laisser des cellules vides ou saisir « N’EXISTE PAS ». Si votre langue en a PLUS, veuillez les ajouter en bas et fournir une explication dans la colonne des notes. (Consultez les EXEMPLES VISUELS pour mieux comprendre les abréviations.)"						
ENGLISH (FULL-LENGTH FORM)	FRENCH (FULL-LENGTH FORM)	TRANSLATION IN YOUR LANGUAGE	VISUAL EXAMPLE	NOTES BY TRANSLATOR (IF NECESSARY)		
January	Janvier	जनवरी				mw-1_XXX
February	Février	फरवरी				mw-2_XXX
March	Mars	मार्च				mw-3_XXX
April	Avril	अप्रिल				mw-4_XXX
May	Mai	मई				mw-5_XXX
June	Juin	जून				mw-6_XXX
July	Juillet	जुलाई				mw-7_XXX
August	Août	अगस्त				mw-8_XXX
September	Septembre	सितंबर				mw-9_XXX
October	Octobre	अक्टूबर				mw-10_XXX
November	Novembre	नवंबर				mw-11_XXX
December	Décembre	दिसंबर				mw-12_XXX
ENGLISH (MEDIUM-LENGTH FORM)	FRENCH (MEDIUM-LENGTH FORM)	TRANSLATION IN YOUR LANGUAGE	VISUAL EXAMPLE	NOTES BY TRANSLATOR (IF NECESSARY)		
Jan	Janv.	जन		Short forms are not used for month names, but this looks fine in context.		mw-13_XXX
Feb	Févr.	फरव		Short forms are not used for month names, but this looks fine in context.		mw-14_XXX
Mar	Mars	मार		Short forms are not used for month names, but this looks fine in context.		mw-15_XXX
Apr	Avr.	अप्र		Short forms are not used for month names, but this looks fine in context.		mw-16_XXX
May	Mai	मई		Short forms are not used for month names, but this looks fine in context.		mw-17_XXX
Jun	Juin	जून		Short forms are not used for month names, but this looks fine in context.		mw-18_XXX
Jul	Juil.	जुल		Short forms are not used for month names, but this looks fine in context.		mw-19_XXX
Aug	Auôt	अग		Short forms are not used for month names, but this looks fine in context.		mw-20_XXX
Sep	Sept.	सित		Short forms are not used for month names, but this looks fine in context.		mw-21_XXX
Oct	Oct.	अक्		Short forms are not used for month names, but this looks fine in context.		mw-22_XXX
Nov	Nov.	नव		Short forms are not used for month names, but this looks fine in context.		mw-23_XXX
Dec	Déc.	दिस		Short forms are not used for month names, but this looks fine in context.		mw-24_XXX
ENGLISH (SHORTEST-LENGTH FORM)	FRENCH (SHORTEST-LENGTH FORM)	TRANSLATION IN YOUR LANGUAGE	VISUAL EXAMPLE	NOTES BY TRANSLATOR (IF NECESSARY)		
J	J	जन		"ज does not work in context Shortest possibility is जन"		mw-25_XXX
F	F	फरव		"फ does not work in context Shortest possibility is फरव"		mw-26_XXX
M	M	मार		"म does not work in context Shortest possibility is मार"		mw-27_XXX
A	A	अप्र		"अ does not work in context Shortest possibility is अप्र"		mw-28_XXX
M	M	मई		"म does not work in context Shortest possibility is मई"		mw-29_XXX
J	J	जून		"ज does not work in context Shortest possibility is जून"		mw-30_XXX
J	J	जुल		"ज does not work in context Shortest possibility is जुल"		mw-31_XXX
A	A	अग		"अ does not work in context Shortest possibility is अग"		mw-32_XXX
S	S	सित		"स does not work in context Shortest possibility is सित"		mw-33_XXX
O	O	अक्		"अ does not work in context Shortest possibility is अक्"		mw-34_XXX
N	N	नव		"न does not work in context Shortest possibility is नव"		mw-35_XXX
D	D	दिस		"द does not work in context Shortest possibility is दिस"		mw-36_XXX
HOURS / HEURES						
ENGLISH	FRENCH	TRANSLATION IN YOUR LANGUAGE	VISUAL EXAMPLE	NOTES BY TRANSLATOR (IF NECESSARY)	XPATH (Ignore/For Reference Only)	
3:00 PM	15 h 00	दुपहर 3 बजे			//ldml/dates/calendars/calendar[@type="gregorian"]/dateTimeFormats/availableFormats/dateFormatItem[@id="h"]	hr-1_XXX
10:48	10:48	सबेरे के' दस अड़तालीस			//ldml/units/durationUnit[@type="hm"]/durationUnitPattern	hr-2_XXX
16:12	16:12	साँझ के चार बजके बारह मिनट			//ldml/dates/calendars/calendar[@type="generic"]/dateTimeFormats/availableFormats/dateFormatItem[@id="Hm"]	hr-3_XXX
9:41 AM	9 h 41	सबेरे के नौ बजके एकतालिस मिनट			//ldml/dates/calendars/calendar[@type="generic"]/dateTimeFormats/availableFormats/dateFormatItem[@id="hm"]	hr-4_XXX
16:14:24	16:14:24	साँझ के चार बजके चौदह मिनट आ चौबिस सेकंड			//ldml/units/durationUnit[@type="hms"]/durationUnitPattern	hr-5_XXX
8:04:41	8:04:41	सबेरे के आठ बजके चार मिनट आ एकतालिस सेकंड			//ldml/dates/calendars/calendar[@type="generic"]/dateTimeFormats/availableFormats/dateFormatItem[@id="Hms"]	hr-6_XXX
11:30 PM GMT	23 h 30 GMT	रात के ग्यारह बज के तीस मिनट GMT		Alternate translation: रात के 11:30 GMT	//ldml/dates/calendars/calendar[@type="gregorian"]/dateTimeFormats/availableFormats/dateFormatItem[@id="hmv"]	hr-7_XXX
RELATIVE TIME / TEMPS RELATIF						
ENGLISH	FRENCH	TRANSLATION IN YOUR LANGUAGE	VISUAL EXAMPLE	NOTES BY TRANSLATOR (IF NECESSARY)	XPATH (Ignore/For Reference Only)	
last month	Mois dernier	पछिला महीना			//ldml/dates/fields/field[@type="month"]/relative[@type="-1"]	rt-1_XXX
last week	La semaine dernière	पछिला हफ्ता			//ldml/dates/fields/field[@type="week"]/relative[@type="-1"]	rt-2_XXX
yesterday	Hier	काल्हे/काल्ह			//ldml/dates/fields/field[@type="day"]/relative[@type="-1"]	rt-3_XXX
last year	L'année dernière	पछिला बरिस			//ldml/dates/fields/field[@type="year"]/relative[@type="-1"]	rt-4_XXX
this month	Ce mois-ci	एह महीना			//ldml/dates/fields/field[@type="month"]/relative[@type="0"]	rt-5_XXX
this week	Cette semaine	एह हफ्ता			//ldml/dates/fields/field[@type="week"]/relative[@type="0"]	rt-6_XXX
today	Aujourd'hui	आज			//ldml/dates/fields/field[@type="day"]/relative[@type="0"]	rt-7_XXX
this year	Cette année	एह बरिस			//ldml/dates/fields/field[@type="year"]/relative[@type="0"]	rt-8_XXX
tomorrow	Demain	काल्ह			//ldml/dates/fields/field[@type="day"]/relative[@type="1"]	rt-9_XXX
next month	Le mois prochain	अगिला महीना			//ldml/dates/fields/field[@type="month"]/relative[@type="1"]	rt-10_XXX
next week	La semaine prochaine	अगिला हफ्ता			//ldml/dates/fields/field[@type="week"]/relative[@type="1"]	rt-11_XXX
next year	L'année prochaine	अगिला बरिस			//ldml/dates/fields/field[@type="year"]/relative[@type="1"]	rt-12_XXX
TIME INTERVALS / INTERVALLES DE TEMPS						
ENGLISH	FRENCH	TRANSLATION IN YOUR LANGUAGE	VISUAL EXAMPLE	NOTES BY TRANSLATOR (IF NECESSARY)	XPATH (Ignore/For Reference Only)	
3 PM - 4 PM	15 h 00–16 h 00	दुपहरिया के तीन बजे से चार बजे ले			//ldml/dates/calendars/calendar[@type="gregorian"]/dateTimeFormats/intervalFormats/intervalFormatItem[@id="h"]/greatestDifference[@id="a"]	ti-1_XXX
3 - 4 PM	15–16 h	दुपहरिया के तीन बजे से चार बजे ले			//ldml/dates/calendars/calendar[@type="gregorian"]/dateTimeFormats/intervalFormats/intervalFormatItem[@id="h"]/greatestDifference[@id="h"]	ti-2_XXX
3:00 PM – 4:00 PM	15 h 00–16 h 00	दुपहरिया के तीन बजे से चार बजे ले			//ldml/dates/calendars/calendar[@type="gregorian"]/dateTimeFormats/intervalFormats/intervalFormatItem[@id="hm"]/greatestDifference[@id="a"]	ti-3_XXX
3:00–4:00 PM	15 h 00–16 h 00	दुपहरिया के तीन बजे से चार बजे ले			//ldml/dates/calendars/calendar[@type="gregorian"]/dateTimeFormats/intervalFormats/intervalFormatItem[@id="hm"]/greatestDifference[@id="h"]	ti-4_XXX
3:00–3:15 PM	15 h 00–15 h 15	दुपहरिया के तीन बजे से सवा तीन बजे ले			//ldml/dates/calendars/calendar[@type="gregorian"]/dateTimeFormats/intervalFormats/intervalFormatItem[@id="hm"]/greatestDifference[@id="m"]	ti-5_XXX
10:00 AM – 2:00 PM PT	10 h 00–14 h 00 PT	सबेरे दस बजे से दुपहरिया के दू बजे ले PT			//ldml/dates/calendars/calendar[@type="gregorian"]/dateTimeFormats/intervalFormats/intervalFormatItem[@id="hmv"]/greatestDifference[@id="a"]	ti-6_XXX
1:00–2:00 PM PT	13 h 00–14 h 00 PT	दुपहरिया के एक बजे से दू बजे ले PT			//ldml/dates/calendars/calendar[@type="gregorian"]/dateTimeFormats/intervalFormats/intervalFormatItem[@id="hmv"]/greatestDifference[@id="h"]	ti-7_XXX
1:00–1:15 PM PT	13 h 00–13 h 15 PT	दुपहरिया के एक बजे से सवा एक बजे ले PT			//ldml/dates/calendars/calendar[@type="gregorian"]/dateTimeFormats/intervalFormats/intervalFormatItem[@id="hmv"]/greatestDifference[@id="m"]	ti-8_XXX
10 AM – 2 PM PT	10 h 00–14 h 00 PT	सबेरे दस बजे से दुपहरिया के दू बजे ले PT			//ldml/dates/calendars/calendar[@type="gregorian"]/dateTimeFormats/intervalFormats/intervalFormatItem[@id="hv"]/greatestDifference[@id="a"]	ti-9_XXX
1–2 PM PT	13–14 h PT	दुपहरिया के एक बजे से दू बजे ले PT			//ldml/dates/calendars/calendar[@type="gregorian"]/dateTimeFormats/intervalFormats/intervalFormatItem[@id="hv"]/greatestDifference[@id="h"]	ti-10_XXX
14:00–15:00 PT	14 h 00–15 h PT	दुपहरिया के दू बजे से तीन बजे ले PT			//ldml/dates/calendars/calendar[@type="gregorian"]/dateTimeFormats/intervalFormats/intervalFormatItem[@id="Hmv"]/greatestDifference[@id="H"]	ti-11_XXX
14:00–14:15 PT	14 h 00–14 h 15 PT	दुपहरिया के दू बजे से सवा दू बजे ले PT			//ldml/dates/calendars/calendar[@type="gregorian"]/dateTimeFormats/intervalFormats/intervalFormatItem[@id="Hmv"]/greatestDifference[@id="m"]	ti-12_XXX
14–15 PT	14–15 h PT	दुपहरिया के दू बजे से तीन बजे ले PT			//ldml/dates/calendars/calendar[@type="gregorian"]/dateTimeFormats/intervalFormats/intervalFormatItem[@id="Hv"]/greatestDifference[@id="H"]	ti-13_XXX
14–15	14–15	दुपहरिया के दू बजे से तीन बजे ले			//ldml/dates/calendars/calendar[@type="gregorian"]/dateTimeFormats/intervalFormats/intervalFormatItem[@id="H"]/greatestDifference[@id="H"]	ti-14_XXX
14:00–14:15	14 h 00–14 h 15	दुपहरिया के दू बजे से सवा दू बजे ले			//ldml/dates/calendars/calendar[@type="gregorian"]/dateTimeFormats/intervalFormats/intervalFormatItem[@id="Hm"]/greatestDifference[@id="m"]	ti-15_XXX
14:00–15:00	14 h 00–15 h 00	दुपहरिया के दू बजे से तीन बजे ले			//ldml/dates/calendars/calendar[@type="gregorian"]/dateTimeFormats/intervalFormats/intervalFormatItem[@id="Hm"]/greatestDifference[@id="H"]	ti-16_XXX
10 AM – 2 PM	10 h 00–14 h 00	सबेरे दस बजे से दुपहरिया के दू बजे ले			//ldml/dates/calendars/calendar[@type="gregorian"]/dateTimeFormats/intervalFormats/intervalFormatItem[@id="h"]/greatestDifference[@id="a"]	ti-17_XXX
1–2 PM	13–14 h	दुपहरिया के एक बजे से दू बजे ले			//ldml/dates/calendars/calendar[@type="gregorian"]/dateTimeFormats/intervalFormats/intervalFormatItem[@id="h"]/greatestDifference[@id="h"]	ti-18_XXX
10:00 AM – 2:00 PM	10 h 00–14 h 00	सबेरे दस बजे से दुपहरिया के दू बजे ले			//ldml/dates/calendars/calendar[@type="gregorian"]/dateTimeFormats/intervalFormats/intervalFormatItem[@id="hm"]/greatestDifference[@id="a"]	ti-19_XXX
3:00–4:00 PM	15 h 00–16 h 00	दुपहरिया के तीन बजे से चार बजे ले			//ldml/dates/calendars/calendar[@type="gregorian"]/dateTimeFormats/intervalFormats/intervalFormatItem[@id="hm"]/greatestDifference[@id="h"]	ti-20_XXX
3:00–3:15 PM	15 h 00–15 h 15	दुपहरिया के तीन बजे से सवा तीन बजे ले			//ldml/dates/calendars/calendar[@type="gregorian"]/dateTimeFormats/intervalFormats/intervalFormatItem[@id="hm"]/greatestDifference[@id="m"]	ti-21_XXX
10:00 AM – 2:00 PM PT	10 h 00–14 h 00 PT	सबेरे दस बजे से दुपहरिया के दू बजे ले PT			//ldml/dates/calendars/calendar[@type="gregorian"]/dateTimeFormats/intervalFormats/intervalFormatItem[@id="hmv"]/greatestDifference[@id="a"]	ti-22_XXX
1:00–2:00 PM PT	13 h 00–14 h 00 PT	दुपहरिया के एक बजे से दू बजे ले PT			//ldml/dates/calendars/calendar[@type="gregorian"]/dateTimeFormats/intervalFormats/intervalFormatItem[@id="hmv"]/greatestDifference[@id="h"]	ti-23_XXX
1:00–1:15 PM PT	13 h 00–13 h 15 PT	दुपहरिया के एक बजे से सवा एक बजे ले PT			//ldml/dates/calendars/calendar[@type="gregorian"]/dateTimeFormats/intervalFormats/intervalFormatItem[@id="hmv"]/greatestDifference[@id="m"]	ti-24_XXX
10 AM – 2 PM PT	10 h 00–14 h 00 PT	सबेरे दस बजे से दुपहरिया के दू बजे ले PT			//ldml/dates/calendars/calendar[@type="gregorian"]/dateTimeFormats/intervalFormats/intervalFormatItem[@id="hv"]/greatestDifference[@id="a"]	ti-25_XXX
1–2 PM PT	13–14 h PT	दुपहरिया के एक बजे से दू बजे ले			//ldml/dates/calendars/calendar[@type="gregorian"]/dateTimeFormats/intervalFormats/intervalFormatItem[@id="hv"]/greatestDifference[@id="h"]	ti-26_XXX
