BCP	endonym	en	fr	it	es	pt
rw	Ikinyarwanda	Kinyarwanda	rwanda	kinyarwanda	kinyarwanda	kinyarwanda
gru	Kəstane	Soddo	kistane	kistane	kistane	kistane
ktu	Kituba	Kituba	kituba	kituba	kituba	kituba
kpe	Kpɛlɛɛ	Kpelle	kpellé	kpelle	kpelle	kpelle
kri	Krio	Krio	krio	krio	krio	krio
nku	Nkuraeng	Kulango	koulango	kulango	kulango	kulango
kmr	Kurdî (Kurmancî)	Kurdish	kurde	curdo	kurdo	curdo
lag	Kɨlaangi	Langi	langi	langi	langi	langi
ln	Lingála	Lingala	lingala	lingala	lingala	lingala
lon	Elhomwe	Malawi Lomwe	lomwe	lomwe	lomwe	lomwe
lu	Kiluba	Luba-Katanga	luba-katanga	kiluba	luba oriental	luba-katanga
lb	Lëtzebuergesch	Luxembourgish	luxembourgeois	lussemburghese	luxemburgués	luxemburguês
mas	ɔl Maa	Maasai	maa	masai	masái	massai
vmw	emakhuwa	Makhuwa	macua	makhuwa	makhuwa	makhuwa
mg	Malagasy	Malagasy	malgache	malgascio	madagascarí	malgaxe
zsm	Melayu	Malay	malais	malese	malayo	malaio
mt	Malti	Maltese	maltais	maltese	maltés	maltês
mnk	Mandinka kaŋo	Mandinka	mandingue	mandinka	mandinga	mandinga
mvz	Mäsqan	Mesqan	mesqan	mesqan	mesqán	mesqan
mn	монгол	Mongolian	mongol	mongolo	mongol	mongol
mos	Mòoré	Moore	moré	moore	moore	moura
mfe	morisyin	Morisyen	créole mauricien	morisyen	morisyen	morisyen
ndc	chiNdau	Ndau	ndau	ndau	ndau	ndau
nd	isiNdebele	Northern Ndebele	ndébélé du Nord	ndebele del nord	ndebele septentrional	ndebele do norte
nus	Thok Nath	Nuer	nuer	nuer	nuer	nuer
nyn	Runyankore	Nyankore	nyankolé	nyankore	nyankore	nyankoré
ann	Obolo	Obolo	obolo	obolo	óbolo	óbolo
om	Oromoo	Oromo	oromo	oromo	oromo	oromo
pap	Papiamentu	Papiamentu	papiamento	papiamento	papiamento	papiamento
pnb	ਪੰਜਾਬੀ	Western Panjabi	panjabi occidental	panjabi occidentale	panjabí occidental	panjabi ocidental
rhg	‫𐴌𐴗𐴥𐴝𐴙𐴚𐴒𐴙𐴝‬	Rohingya	rohingya	rohingya	rohinyá	rohinyá
rn	Ikirundi	Rundi	roundi	rundi	rundi	rundi
rwk	Kiruwa	Rwa	rwa	rwa	rua	rwa
sg	Sängö	Sango	sango	sangò	sango	sango
tn	seTswana	Tswana	tswana	tswana	tswana	tsuana
sn	chiShona	Shona	shona	shona	shona	shona
stv	የስልጤ	Silt'e	silt'e	silt'e	limo	silte
xog	Olusoga	Soga	soga	soga	soga	soga
snk	Soninkanxaane	Soninke	soninké	soninke	soninké	soninké
nso	Sepedi	Northern Sotho	sotho du Nord	sotho settentrionale	sotho del norte	soto norte
st	seSotho	Southern Sotho	sotho du Sud	sotho meridionale	sotho del sur	sul do soto
nr	isiNdebele	Southern Ndebele	ndébélé du Sud	ndebele meridionale	ndebele del sur	ndebele do sul
es	español	Spanish	espagnol	spagnolo	español	espanhol
sus	Sosoxui	Susu	soussou	susu	susu	susu
ss	siSwati	Swati	swati	swati	swati	swati
tg	забони тоҷикӣ	Tajik	tadjik	tagico	tayiko	tadjique
zgh	ⵜⴰⵎⴰⵣⵉⵖⵜ	Standard Moroccan Tamazight	amazighe standard marocain	tamazight marocchino standard	tamazight marroquí estándar	tamazight marroquino padrão
ts	Xitsonga	Tsonga	tsonga	tsonga	tsonga	tsonga
tum	Chitumbuka	Tumbuka	tumbuka	tumbuka	tumbuka	tumbuka
uz	O&#x27;zbek	Uzbek	ouzbek	uzbeco	uzbeko	usbeque
ve	tshiVenḓa	Venda	venda	venda	venta	venda
wo	Wolof	Wolof	wolof	wolof	wólof	uolof
xan	ኽምጣጘ	Xamtanga	xamtanga	xamtanga	xamtanga	xamtanga
ckb	کوردیی ناوەندی	Central Kurdish	sorani	soranî	sorani	sorâni
ngl	Elomwe	Western Makhuwa	lomwe	lomwe	lomwe	lomwe
ak	Akan	Akan	akan	akan	akan	akan
ar	العربية	Arabic	arabe	arabo	árabe	árabe
bev	Daloa Bété	Daloa Bété	daloa bété	daloa bété	daloa bété	daloa bété
de	Deutsch	German	allemand	tedesco	alemán	alemão
fr	français	French	français	francese	francés	francês
hr	hrvatski	Croatian	croate	croato	croata	croata
nl	Nederlands	Dutch	néerlandais	olandese	holandés	holandês
pt	português	Portuguese	portugais	portoghese	portugués	português
ru	русский	Russian	russe	russo	ruso	russo
sr	српски	Serbian	serbe	serbo	serbio	sérvio
sr-Latn	srpski	Serbian (Latin)	serbe (latin)	serbo (latino)	serbio (latín)	sérvio (latim)
tig	ትግሬ	Tigre	tigré	tigre	tigre	tigre
zh	中文	Chinese	chinois	cinese	chino	chinês
or	ଓଡ଼ିଆ	Odia	odia	odia	oriya	oriá
en-Latf	𝔈𝔫𝔤𝔩𝔦𝔰𝔥	English (Fraktur)	anglais (fraktur)	inglese (fraktur)	inglés (fraktur)	inglês (fraktur)
it	italiano	Italian	italien	italiano	italiano	italiano
	None	None	aucun	nessuno	ninguno	nenhum
